 1    3.496172e+02
 2    2.961693e+02
 3    2.059694e+02
 4    1.590957e+02
 5    1.589749e+02
 6    1.383400e+02
 7    1.202342e+02
 8    9.983770e+01
 9    9.830976e+01
 10    9.095318e+01
 11    8.325861e+01
 12    7.280229e+01
 13    7.308303e+01
 14    7.063294e+01
 15    6.475939e+01
 16    5.778648e+01
 17    5.831706e+01
 18    5.679811e+01
 19    5.275244e+01
 20    4.809145e+01
 1    3.495753e+02
 2    2.964797e+02
 3    2.057878e+02
 4    1.592345e+02
 5    1.595983e+02
 6    1.390086e+02
 7    1.210188e+02
 8    1.002628e+02
 9    9.715092e+01
 10    9.162435e+01
 11    8.321769e+01
 12    7.226352e+01
 13    7.296945e+01
 14    7.027980e+01
 15    6.468645e+01
 16    5.752888e+01
 17    5.812574e+01
 18    5.720514e+01
 19    5.277918e+01
 20    4.847780e+01
 1    3.495997e+02
 2    2.961249e+02
 3    2.058440e+02
 4    1.609970e+02
 5    1.584249e+02
 6    1.390867e+02
 7    1.200008e+02
 8    1.000762e+02
 9    9.902136e+01
 10    9.183413e+01
 11    8.303633e+01
 12    7.234744e+01
 13    7.198561e+01
 14    7.090838e+01
 15    6.485662e+01
 16    5.798125e+01
 17    5.825536e+01
 18    5.699949e+01
 19    5.267951e+01
 20    4.856719e+01
 1    3.496399e+02
 2    2.963533e+02
 3    2.059424e+02
 4    1.596483e+02
 5    1.588265e+02
 6    1.389460e+02
 7    1.213707e+02
 8    1.005045e+02
 9    9.853181e+01
 10    9.179061e+01
 11    8.214738e+01
 12    7.239003e+01
 13    7.220242e+01
 14    7.107041e+01
 15    6.407537e+01
 16    5.745293e+01
 17    5.832982e+01
 18    5.714539e+01
 19    5.302982e+01
 20    4.809559e+01
