2   3.350074e+02
22   1.739879e+01
24   1.602740e+01
26   1.491369e+01
28   1.389491e+01
4   1.181366e+02
6   7.316325e+01
8   5.225306e+01
10   4.065116e+01
12   3.266885e+01
14   2.789619e+01
16   2.442828e+01
18   2.156719e+01
20   1.931410e+01
26   1.491412e+01
28   1.389497e+01
30   1.314176e+01
32   1.225375e+01
34   1.171309e+01
36   1.114541e+01
38   1.066914e+01
40   1.033986e+01
22   1.740669e+01
24   1.602521e+01
26   1.491233e+01
28   1.390414e+01
30   1.310132e+01
32   1.233262e+01
34   1.172190e+01
36   1.114317e+01
38   1.066444e+01
40   1.033080e+01
22   1.739908e+01
24   1.602302e+01
26   1.491544e+01
28   1.389383e+01
30   1.315519e+01
32   1.231905e+01
34   1.167076e+01
36   1.115269e+01
38   1.067521e+01
40   1.031808e+01
2   3.348807e+02
4   1.179128e+02
6   7.317100e+01
8   5.224887e+01
10   4.064703e+01
12   3.267581e+01
14   2.789229e+01
16   2.442467e+01
18   2.156482e+01
20   1.931552e+01
2   3.328430e+02
4   1.179261e+02
6   7.316528e+01
8   5.225928e+01
10   4.064722e+01
12   3.267845e+01
14   2.788696e+01
16   2.442452e+01
18   2.156606e+01
20   1.931243e+01
